Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
321,123,-1,22.15556,0.4123948,0.8363746,-1.863315,211.8731
321,123,-1,22.37778,0.4027138,0.832584,-1.863769,232.2779
321,123,-1,22.6,0.3796151,0.8218099,-1.868537,255.4502
321,123,-1,22.82222,0.3543721,0.8143191,-1.874397,270.0239
321,123,-1,23.04445,0.3178985,0.8060225,-1.884203,286.247
321,123,-1,23.26667,0.2828782,0.8003951,-1.886675,296.976
321,123,-1,23.48889,0.240705,0.7997382,-1.880748,308.3435
321,123,-1,23.71111,0.176489,0.7898368,-1.711618,317.0529
321,123,-1,23.93333,0.1617385,0.778387,-1.520251,327.9887
321,123,-1,24.15556,0.1786656,0.7767338,-1.354663,332.9264
321,123,-1,24.37778,0.2217902,0.7757211,-1.180838,336.4355
321,123,-1,24.6,0.2752451,0.7768027,-1.014193,339.0989
321,123,-1,24.82222,0.3078502,0.7781918,-0.8980945,341.7238
321,123,-1,25.04445,0.3336493,0.7794381,-0.7438689,345.4575
321,123,-1,25.26667,0.3295834,0.7812415,-0.5870016,344.8505
321,123,-1,25.48889,0.2967013,0.7824379,-0.4347844,341.5967
321,123,-1,25.71111,0.2948109,0.7824041,-0.2637891,343.3651
321,123,-1,25.93333,0.3223335,0.783141,-0.07994193,344.1443
321,123,-1,26.15556,0.3585081,0.7830042,0.1077019,344.5892
321,123,-1,26.37778,0.4000427,0.7830671,0.2743452,344.7115
321,123,-1,26.6,0.441906,0.7837105,0.4384667,345.7601
321,123,-1,26.82222,0.4771702,0.7839285,0.6062385,346.1576
321,123,-1,27.04445,0.4920151,0.7847013,0.7758489,344.8104
321,123,-1,27.26667,0.4912509,0.7861733,0.9328253,343.8218
321,123,-1,27.48889,0.4767942,0.7870386,1.096886,343.958
321,123,-1,27.71111,0.4584339,0.7868907,1.249942,344.5125
test
321,123,0,37.44445,1.053313,0.7943609,-0.945863,330.3558
321,123,0,37.66667,1.148566,0.799823,-0.9708893,333.1301
321,123,0,37.88889,1.17534,0.8076775,-0.9793854,330.0753
321,123,0,38.11111,1.301109,0.8213002,-1.007065,308.0543
321,123,0,38.33334,1.340129,0.8277664,-1.093925,283.7788
321,123,0,38.55556,1.375521,0.8392662,-1.22699,263.314
321,123,0,38.77778,1.474041,0.8389018,-1.346732,237.9814
321,123,0,39,1.633634,0.8467818,-1.433692,205.2016
321,123,0,39.22222,1.829484,0.8560873,-1.430893,160.2196
321,123,0,39.44445,2.010243,0.8640997,-1.396849,129.4283
321,123,0,39.66667,2.150021,0.8593428,-1.414715,132.9401
321,123,0,39.88889,2.174981,0.8520049,-1.532969,179.6821
321,123,0,40.11111,2.11759,0.8465142,-1.594032,200.3955
321,123,0,40.33334,2.084298,0.83775,-1.647934,206.1484
321,123,0,40.55556,2.050424,0.8402798,-1.793328,196.8753
321,123,0,40.77778,2.069161,0.8384715,-1.909376,197.574
321,123,0,41,2.074452,0.8400748,-2.00616,209.8848
321,123,0,41.22222,2.063596,0.8372363,-2.05605,219.2829
321,123,0,41.44445,2.061374,0.8371403,-2.065724,221.1084
321,123,0,41.66667,2.082135,0.8368701,-2.167592,222.318
321,123,0,41.88889,2.092273,0.8378981,-2.287786,223.4814
test
321,123,1,57.96667,2.352546,0.800437,-1.725395,288.679
321,123,1,58.18889,2.337176,0.7999963,-1.725354,295.5131
321,123,1,58.41111,2.33909,0.7991225,-1.728945,292.4257
321,123,1,58.63334,2.356821,0.8074715,-1.73456,282.5614
321,123,1,58.85556,2.383804,0.8218404,-1.731467,277.0396
321,123,1,59.07778,2.412813,0.8353596,-1.726791,273.2012
321,123,1,59.3,2.441778,0.8414673,-1.724706,264.4672
on destroy
